phase,dataset,split,protocol,model,seed,config_tag,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std,ece_mean,ece_std
PHASE2_REPRO,A,S1,P0,lr_l2,1007,PHASE2_REPRO,0.9122966933313281,0.0174912182205907,0.47342802924400507,0.0174019367922724,0.017763870870728303,0.0006683229814757713,0.005364826090486883,0.0013247789584544985
PHASE2_REPRO,A,S1,P0,lr_l2,1008,PHASE2_REPRO,0.9205506849848455,0.008701684529245628,0.47806215710443334,0.04663992623440674,0.017741179854414736,0.0010148094827471987,0.005361348651416397,0.001988166120947935
PHASE2_REPRO,A,S1,P0,lr_l2,1009,PHASE2_REPRO,0.9181115004754539,0.016310711494157602,0.4663099789488448,0.05091395368476339,0.017940952646229864,0.0010622172145069728,0.005258711401978246,0.0026315507567562938
PHASE2_REPRO,A,S1,P0,lr_l2,1010,PHASE2_REPRO,0.9107200380039012,0.019913572373936577,0.46125027823320763,0.03723094717268317,0.01799145851332905,0.0008596865411089395,0.005619410924786325,0.001584607970419975
PHASE2_REPRO,A,S1,P0,lr_l2,1011,PHASE2_REPRO,0.913093794641717,0.015419011913988374,0.462596507261571,0.02457441477429813,0.017973183308526892,0.00045694824535337134,0.00507507061274135,0.0018965958408918634
PHASE2_REPRO,A,S1,P0,lr_l2,1012,PHASE2_REPRO,0.9140736439223174,0.013171324715868498,0.47054154069270393,0.07248370212964825,0.017832073404245814,0.0014812674164941047,0.006320506875232279,0.002061904082285573
PHASE2_REPRO,A,S1,P0,lr_l2,1013,PHASE2_REPRO,0.9102975775101729,0.020587296947062246,0.4614566615904323,0.06866069711498095,0.01791345430012705,0.0013262535144158598,0.00551391680738733,0.0016539884056148712
PHASE2_REPRO,A,S1,P0,lr_l2,1014,PHASE2_REPRO,0.9159105579798423,0.013254962849731036,0.467221724201917,0.08146312974320911,0.01770515977820871,0.0015077207018523808,0.005046749192442276,0.0011359049186582156
PHASE2_REPRO,A,S1,P0,lr_l2,1015,PHASE2_REPRO,0.9124443182302369,0.009190055289235173,0.46717890106761706,0.03958858465850749,0.017967142579490135,0.000660589296958243,0.0038951482692714118,0.0012495562916109014
PHASE2_REPRO,A,S1,P0,lr_l2,1016,PHASE2_REPRO,0.9152388668051163,0.01118281504343531,0.47940311663947954,0.047042488898765306,0.017604106661153765,0.0010903263059029776,0.005016071815932423,0.0019387837050862142
PHASE2_REPRO,A,S1,P0,lr_l2,1017,PHASE2_REPRO,0.9142616849536559,0.010386095341449547,0.4697102732289111,0.04616452184228502,0.01784253235010051,0.0011050168001398007,0.005140039454880604,0.001858561819567894
PHASE2_REPRO,A,S1,P0,lr_l2,1018,PHASE2_REPRO,0.9115731230706876,0.012939065116495618,0.46178399793853553,0.06276738847367294,0.017890825048702628,0.0014207336082947086,0.006354799056750934,0.0005777178960344253
PHASE2_REPRO,A,S1,P0,lr_l2,1019,PHASE2_REPRO,0.9171010955233652,0.005400079322944073,0.471234676097648,0.0398432780761833,0.01783178706662883,0.0010524149159990036,0.004874308871987318,0.0013087086189711872
PHASE2_REPRO,A,S1,P0,lr_l2,1020,PHASE2_REPRO,0.9147530266301391,0.013118922359746772,0.47310553149915224,0.07111806422703781,0.01773939745635038,0.001761592242256945,0.0052138166171465045,0.0019318940247241704
PHASE2_REPRO,A,S1,P0,rf,1001,PHASE2_REPRO,0.9540593694597608,0.011552296228500868,0.5724774768990859,0.04867856095821081,0.016658234987268795,0.0008270560620623221,0.009199795698949608,0.003266422583055318
PHASE2_REPRO,A,S1,P0,rf,1002,PHASE2_REPRO,0.9530430564773056,0.009599044922440826,0.5733528478806857,0.07951414027905204,0.016692694753565617,0.0011047296488195884,0.009273139196628111,0.002772526664123278
PHASE2_REPRO,A,S1,P0,rf,1003,PHASE2_REPRO,0.9525622312074831,0.012765499524599105,0.5656465503511959,0.04956007919587777,0.016764194813705103,0.0007499619027554549,0.008895137829227712,0.0020280186928358156
PHASE2_REPRO,A,S1,P0,rf,1004,PHASE2_REPRO,0.9523896826462661,0.013252072940674204,0.5715101558932636,0.08083363100329105,0.016624041516112114,0.0013890113694978916,0.009226711240895313,0.0030300681592639505
PHASE2_REPRO,A,S1,P0,rf,1005,PHASE2_REPRO,0.952802454999462,0.017032570452082493,0.5673639499486801,0.043474471192268486,0.016814057120155056,0.0004057839700628626,0.0083186791470184,0.002492104280459529
PHASE2_REPRO,A,S1,P0,rf,1006,PHASE2_REPRO,0.9524329125056606,0.00915994135887437,0.5612218987605888,0.02782866045959468,0.016976471258099556,0.0004615805952340069,0.009206369715324805,0.0008652867720866108
PHASE2_REPRO,A,S1,P0,rf,1007,PHASE2_REPRO,0.955400668802642,0.004696005006051637,0.5739141007944921,0.013128415903732678,0.016634499385868796,0.00025769820954539715,0.009466445567734804,0.001121010530476113
PHASE2_REPRO,A,S1,P0,rf,1008,PHASE2_REPRO,0.9514793752156031,0.007060631641381259,0.5631041825798494,0.045897614561031176,0.0167939436013686,0.000774925747129435,0.008142446260595,0.0018002226266627516
PHASE2_REPRO,A,S1,P0,rf,1009,PHASE2_REPRO,0.9536969058619797,0.008472954814316348,0.572116907269273,0.046249377756932164,0.0166047478365301,0.0005960558755791752,0.008518063967336207,0.0023102187403822995
PHASE2_REPRO,A,S1,P0,rf,1010,PHASE2_REPRO,0.9497034222712747,0.02021760368973068,0.5714686233535732,0.06476665306910692,0.016705029813760687,0.0010601266270006049,0.009046620119548838,0.0023876315262100862
PHASE2_REPRO,A,S1,P0,rf,1011,PHASE2_REPRO,0.9500134799946227,0.0036840956390249468,0.5697569807636551,0.02192053043301438,0.0165966442789364,0.0005450974515847713,0.008824516854370322,0.0012480762818037902
PHASE2_REPRO,A,S1,P0,rf,1012,PHASE2_REPRO,0.951923540107893,0.01123593314854094,0.5655439584459412,0.04960730642454213,0.01698354579727699,0.0006493757827914792,0.00886683782549695,0.0034606295030356602
PHASE2_REPRO,A,S1,P0,rf,1013,PHASE2_REPRO,0.9516534070225597,0.009236766925087025,0.5652784747217152,0.06650357417637603,0.016736335045295113,0.0012077842446376428,0.009082936832338757,0.0029928078555459376
PHASE2_REPRO,A,S1,P0,rf,1014,PHASE2_REPRO,0.9525658225318521,0.007311067086130985,0.5685286237006161,0.06725291278490066,0.016756758219733665,0.0012208415825078537,0.008899773806975722,0.0011190249543350144
PHASE2_REPRO,A,S1,P0,rf,1015,PHASE2_REPRO,0.950653495664519,0.014981080736850772,0.572480979883441,0.06633103042950834,0.016647882694929377,0.0009819278329065916,0.007733610528935253,0.003549768646679895
PHASE2_REPRO,A,S1,P0,rf,1016,PHASE2_REPRO,0.9534911257622726,0.009826326688146852,0.5634829655841923,0.06682079085149818,0.016781707974412658,0.0011502875686939895,0.009477297711482622,0.0029723108276334793
PHASE2_REPRO,A,S1,P0,rf,1017,PHASE2_REPRO,0.9493449095120683,0.005872536914554357,0.572934526976106,0.05000318160876438,0.01651689049609108,0.0007762610593103188,0.008345640330501142,0.0024349312654216473
PHASE2_REPRO,A,S1,P0,rf,1018,PHASE2_REPRO,0.954262335191028,0.0057354117418307515,0.5657325892798205,0.03899297224702985,0.016830569510901776,0.000510016360088294,0.008827444354128671,0.0024103763096909613
PHASE2_REPRO,A,S1,P0,rf,1019,PHASE2_REPRO,0.9522546362698036,0.007041824090587307,0.567077400431057,0.055363244620993256,0.01675835915909519,0.0011155510648746276,0.008717084218451876,0.0012253821627022372
PHASE2_REPRO,A,S1,P0,rf,1020,PHASE2_REPRO,0.9518996161880768,0.010293618798169257,0.5640357716912168,0.09229414261870454,0.016710105077980594,0.001433006947906992,0.008458019502397069,0.0019633668311867204
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1001,PHASE2_REPRO,0.9088016151722424,0.014768942724538159,0.471996912935632,0.07188712393284336,0.017692510443626467,0.0013073951701635907,0.00622089720038972,0.003362013881042772
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1002,PHASE2_REPRO,0.9072895992684524,0.02365006166110477,0.48189113691425867,0.06826697247085478,0.01758940474259133,0.001315752926384094,0.005420717145369415,0.0019843534900558786
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1003,PHASE2_REPRO,0.9125817267041858,0.009259571406044524,0.46716019381351215,0.05575861605368745,0.018048112958666405,0.001364682429958269,0.005007010413610964,0.0020890687456339256
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1004,PHASE2_REPRO,0.9059601389235752,0.02079750905105614,0.48044288018579717,0.0726366690942787,0.017670636681454396,0.0013644398104207885,0.00637925937217519,0.001957858123981623
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1005,PHASE2_REPRO,0.9111153309821717,0.019650469602980572,0.48885569789411293,0.021211215374732945,0.017618793326628097,0.0005258216326985778,0.006112478186199387,0.0017982137909254357
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1006,PHASE2_REPRO,0.9077831199390021,0.010343430198189629,0.47731106868958867,0.019259784302559133,0.017558883438559873,0.00045059307933211065,0.005874889916829591,0.001480659725609489
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1007,PHASE2_REPRO,0.9080211893934432,0.01676096088891963,0.488245250545143,0.023152531747241998,0.017658164203200707,0.000736491269695935,0.0058129597147010634,0.0020944514223577067
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1008,PHASE2_REPRO,0.912790303938214,0.010228018381399228,0.48093317393244667,0.04712626205639176,0.017832189332508457,0.0009989257228104767,0.006309129924420257,0.0024921159640981533
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1009,PHASE2_REPRO,0.9137571477961359,0.01888282354276229,0.4800214627381803,0.037796747862409184,0.017837094586534666,0.0008330787888364867,0.006417816471062604,0.0032721414460112875
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1010,PHASE2_REPRO,0.9055096422379403,0.023159102109008754,0.468556847675213,0.04008571142268279,0.017935311382752894,0.0009474332557713727,0.005896891473589773,0.002940002130373791
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1011,PHASE2_REPRO,0.9067789243182892,0.016251001533879966,0.47266942088585145,0.02501699243581315,0.017693141694537395,0.00041381290723050036,0.005482806734887,0.003007607140275492
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1012,PHASE2_REPRO,0.9099840387441933,0.01568253801384467,0.4818051521990805,0.0696429771779734,0.017819818279392455,0.0013268344218086991,0.006636249784927714,0.003356588032166616
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1013,PHASE2_REPRO,0.9019767010631833,0.02277451134891625,0.4738074869969747,0.0729923108494165,0.017780704221724633,0.0013162553309687464,0.006226481137490912,0.0023749381945676286
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1014,PHASE2_REPRO,0.9106247425789885,0.014670956430489329,0.4821811682730206,0.08195990370458318,0.01760031759216476,0.001522482667436033,0.006317495984779764,0.0017868527024154065
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1015,PHASE2_REPRO,0.9088095784933093,0.016053598369415396,0.4772400455415003,0.03462160433574415,0.018027369100254785,0.0006952828674298872,0.005166710679102737,0.0025432095645325507
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1016,PHASE2_REPRO,0.9110080762840138,0.011554788232063636,0.48570241628924443,0.03968442795178711,0.017576586563174554,0.0010843580737050188,0.005707923054391913,0.0017788639131520237
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1017,PHASE2_REPRO,0.9079240336758042,0.010531769714043241,0.47453501146712823,0.0367096227008661,0.017912496024535537,0.0010151527879874022,0.00658576409358029,0.0026676468081574993
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1018,PHASE2_REPRO,0.9022025585396365,0.015746610851686237,0.48111733468784335,0.06767245542493311,0.017595430552102397,0.001527513948940337,0.006429866762034155,0.0017097428011289078
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1019,PHASE2_REPRO,0.9116600290845852,0.006653286846302018,0.4765111066807265,0.04069350579459094,0.017722150907801444,0.0011717952452261638,0.0054631022344212975,0.0007308178621436683
PHASE2_REPRO,A,S1,P0,svm_linear_cal,1020,PHASE2_REPRO,0.9089619460315417,0.01343763969687324,0.4793902400377009,0.06687493408948231,0.017633036449699695,0.0016223527592242487,0.005959817210855795,0.0020735845413883407
PHASE2_REPRO,A,S1,P0,xgb,1001,PHASE2_REPRO,0.962313061884726,0.009556989017031461,0.5913195439228455,0.0424493311152906,0.015457155396678673,0.0010373252563233143,0.007040229280303741,0.0017018566361224935
PHASE2_REPRO,A,S1,P0,xgb,1002,PHASE2_REPRO,0.9584969325772527,0.006617045400264918,0.5790484732174256,0.07988216757621239,0.01580988800445928,0.0017939180729769062,0.007445945594357603,0.003099023665405873
